Iteration 66: time=0.01, ELBO=-30546.48, deltaELBO=28.502 (0.01125944%), Factors=8
Iteration 67: time=0.00, ELBO=-30517.87, deltaELBO=28.609 (0.01130177%), Factors=8
Iteration 68: time=0.01, ELBO=-30488.26, deltaELBO=29.612 (0.01169774%), Factors=8
Iteration 69: time=0.01, ELBO=-30456.87, deltaELBO=31.388 (0.01239924%), Factors=8
Iteration 70: time=0.00, ELBO=-30423.20, deltaELBO=33.680 (0.01330478%), Factors=8
Iteration 71: time=0.01, ELBO=-30387.19, deltaELBO=36.009 (0.01422473%), Factors=8
Iteration 72: time=0.00, ELBO=-30349.52, deltaELBO=37.670 (0.01488091%), Factors=8
Iteration 73: time=0.01, ELBO=-30311.58, deltaELBO=37.936 (0.01498614%), Factors=8
Iteration 74: time=0.00, ELBO=-30275.15, deltaELBO=36.434 (0.01439273%), Factors=8
Iteration 75: time=0.00, ELBO=-30241.76, deltaELBO=33.383 (0.01318771%), Factors=8
Iteration 76: time=0.02, ELBO=-30212.33, deltaELBO=29.432 (0.01162688%), Factors=8
Iteration 77: time=0.00, ELBO=-30187.06, deltaELBO=25.272 (0.00998331%), Factors=8
Iteration 78: time=0.01, ELBO=-30165.68, deltaELBO=21.380 (0.00844573%), Factors=8
Iteration 79: time=0.00, ELBO=-30147.70, deltaELBO=17.976 (0.00710131%), Factors=8
Iteration 80: time=0.00, ELBO=-30132.60, deltaELBO=15.103 (0.00596617%), Factors=8
Iteration 81: time=0.00, ELBO=-30119.89, deltaELBO=12.714 (0.00502254%), Factors=8
Iteration 82: time=0.00, ELBO=-30109.14, deltaELBO=10.741 (0.00424328%), Factors=8
Iteration 83: time=0.02, ELBO=-30100.02, deltaELBO=9.123 (0.00360405%), Factors=8
Iteration 84: time=0.00, ELBO=-30092.20, deltaELBO=7.826 (0.00309148%), Factors=8
Iteration 85: time=0.01, ELBO=-30085.32, deltaELBO=6.880 (0.00271786%), Factors=8
Iteration 86: time=0.00, ELBO=-30079.04, deltaELBO=6.276 (0.00247914%), Factors=8
Iteration 87: time=0.00, ELBO=-30073.56, deltaELBO=5.478 (0.00216388%), Factors=8
Iteration 88: time=0.01, ELBO=-30069.00, deltaELBO=4.566 (0.00180371%), Factors=8
Iteration 89: time=0.00, ELBO=-30065.08, deltaELBO=3.912 (0.00154528%), Factors=8
Iteration 90: time=0.00, ELBO=-30061.65, deltaELBO=3.435 (0.00135698%), Factors=8
Iteration 91: time=0.02, ELBO=-30058.59, deltaELBO=3.058 (0.00120790%), Factors=8
Iteration 92: time=0.00, ELBO=-30055.84, deltaELBO=2.747 (0.00108532%), Factors=8
Iteration 93: time=0.01, ELBO=-30053.36, deltaELBO=2.488 (0.00098295%), Factors=8
Iteration 94: time=0.00, ELBO=-30051.09, deltaELBO=2.270 (0.00089671%), Factors=8
Iteration 95: time=0.01, ELBO=-30049.00, deltaELBO=2.085 (0.00082354%), Factors=8
Iteration 96: time=0.00, ELBO=-30047.08, deltaELBO=1.927 (0.00076105%), Factors=8
Iteration 97: time=0.00, ELBO=-30045.28, deltaELBO=1.791 (0.00070732%), Factors=8
Iteration 98: time=0.00, ELBO=-30043.61, deltaELBO=1.673 (0.00066079%), Factors=8
Iteration 99: time=0.00, ELBO=-30042.04, deltaELBO=1.570 (0.00062024%), Factors=8
Iteration 100: time=0.02, ELBO=-30040.56, deltaELBO=1.480 (0.00058465%), Factors=8
Iteration 101: time=0.00, ELBO=-30039.16, deltaELBO=1.400 (0.00055322%), Factors=8
Iteration 102: time=0.01, ELBO=-30037.83, deltaELBO=1.330 (0.00052530%), Factors=8
Iteration 103: time=0.00, ELBO=-30036.57, deltaELBO=1.267 (0.00050034%), Factors=8
Iteration 104: time=0.00, ELBO=-30035.36, deltaELBO=1.210 (0.00047792%), Factors=8
Iteration 105: time=0.00, ELBO=-30034.20, deltaELBO=1.159 (0.00045768%), Factors=8
